Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
ionosphere,ARM,2,315,36,1,2.400151348003419,0.0239383949956391,0.8461538461538461,0.8888888888888888,0.9053497942386832,0.8888888888888888,0.8832323232323233
ionosphere,ARM,2,315,36,2,2.446199456011527,0.024435827013803646,0.862876254180602,0.8888888888888888,0.8905050505050505,0.8888888888888888,0.886574074074074
ionosphere,ARM,2,315,36,3,2.2707400520012015,0.021797763998620212,0.9013377926421404,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.915886524822695
ionosphere,ARM,2,315,36,4,2.2272788190020947,0.021866536990273744,0.8244147157190636,0.8611111111111112,0.8655982905982906,0.8611111111111112,0.8563048407768904
ionosphere,ARM,2,315,36,5,2.3966791050042957,0.023405037994962186,0.8461538461538461,0.8888888888888888,0.9053497942386832,0.8888888888888888,0.8832323232323233
ionosphere,ARM,2,316,35,6,2.290112553004292,0.025256000997615047,0.9230769230769231,0.9428571428571428,0.9476190476190476,0.9428571428571428,0.9417184265010352
ionosphere,ARM,2,317,34,7,2.4149629219900817,0.02297443599672988,0.7462121212121211,0.7941176470588235,0.7921568627450981,0.7941176470588235,0.7859824780976221
ionosphere,ARM,2,317,34,8,2.354436877008993,0.021242782997433096,0.875,0.9117647058823529,0.9223529411764706,0.9117647058823529,0.9082782048989808
ionosphere,ARM,2,317,34,9,2.262350729011814,0.020281032993807457,0.7689393939393939,0.8235294117647058,0.831447963800905,0.8235294117647058,0.8132352941176471
ionosphere,ARM,2,317,34,10,2.325794306001626,0.02129175199661404,0.8522727272727273,0.8823529411764706,0.8838235294117647,0.8823529411764706,0.879562892350616
