Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
iris,ARM,3,135,15,1,0.556229579000501,0.004314812002121471,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,ARM,3,135,15,2,0.5510443600069266,0.0043337800016161054,1.0,1.0,1.0,1.0,1.0
iris,ARM,3,135,15,3,0.5384530890005408,0.004132499001570977,0.8999999999999999,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
iris,ARM,3,135,15,4,0.550532616005512,0.004251448001014069,1.0,1.0,1.0,1.0,1.0
iris,ARM,3,135,15,5,0.5385830989980604,0.004184549005003646,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,ARM,3,135,15,6,0.5491064559901133,0.004252833008649759,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,ARM,3,135,15,7,0.5486483629938448,0.00431296500028111,1.0,1.0,1.0,1.0,1.0
iris,ARM,3,135,15,8,0.5548195360024692,0.004285204995539971,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,ARM,3,135,15,9,0.5556791400013026,0.004314542995416559,1.0,1.0,1.0,1.0,1.0
iris,ARM,3,135,15,10,0.549341258010827,0.0042870640027103946,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
