Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
led7digit,ARM,10,312,188,1,5.657562764999966,0.45078286199998274,0.5700671225937185,0.2074468085106383,0.20361207323107372,0.2074468085106383,0.20200851487455387
led7digit,ARM,10,462,38,2,11.873988711000038,0.1223947749999752,0.7261208576998048,0.5,0.5368421052631579,0.5,0.4985380116959065
led7digit,ARM,10,462,38,3,12.59293685299997,0.1453350190000151,0.7005969785575048,0.4473684210526316,0.46441102756892233,0.4473684210526316,0.42637844611528825
led7digit,ARM,10,463,37,4,12.216179831999966,0.14166125900004545,0.6915415415415416,0.43243243243243246,0.4448948948948948,0.43243243243243246,0.42961122961122966
led7digit,ARM,10,463,37,5,13.559966121000002,0.15469613100003698,0.6892392392392392,0.40540540540540543,0.4079150579150579,0.40540540540540543,0.36513786513786517
led7digit,ARM,10,463,37,6,13.665625894000016,0.16164049699995076,0.7219594594594594,0.4864864864864865,0.5193693693693693,0.4864864864864865,0.4597168597168597
led7digit,ARM,10,465,35,7,12.89221020900004,0.12899197800004458,0.6632275132275133,0.37142857142857144,0.43428571428571433,0.37142857142857144,0.3634920634920635
led7digit,ARM,10,469,31,8,12.068065382999976,0.14453877699997975,0.6535244922341695,0.3870967741935484,0.4174347158218126,0.3870967741935484,0.38740399385560675
led7digit,ARM,10,470,30,9,12.809013406999952,0.1219528710000759,0.6204629629629633,0.3333333333333333,0.4285714285714286,0.3333333333333333,0.3442857142857143
led7digit,ARM,10,471,29,10,14.152717882000047,0.13225732699993387,0.6615900383141762,0.3793103448275862,0.5137931034482759,0.3793103448275862,0.3760262725779967
