Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
lymphography,ARM,4,130,18,1,0.84926981600006,0.009275983000065935,0.8830099941211053,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
lymphography,ARM,4,132,16,2,0.8756246059999739,0.008750878000000739,0.8736979166666669,0.75,0.7760416666666667,0.75,0.75
lymphography,ARM,4,133,15,3,0.8796622770000795,0.007197819999987587,0.6340277777777779,0.6666666666666666,0.6285714285714286,0.6666666666666666,0.6461538461538461
lymphography,ARM,4,133,15,4,0.8878876760001049,0.007141447999970296,0.5989583333333333,0.6,0.6181818181818183,0.6,0.5490196078431372
lymphography,ARM,4,134,14,5,0.9068854829999964,0.00799435099997936,0.39583333333333337,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.163265306122449
lymphography,ARM,4,134,14,6,1.0251142070000014,0.00777686599997196,0.32291666666666663,0.07142857142857142,0.09523809523809523,0.07142857142857142,0.0816326530612245
lymphography,ARM,4,134,14,7,0.893163254000001,0.007579549999945812,0.3125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
lymphography,ARM,4,134,14,8,0.8943350909999026,0.006750307000061184,0.4375,0.21428571428571427,0.619047619047619,0.21428571428571427,0.2857142857142857
lymphography,ARM,4,134,14,9,0.8805586940000012,0.0071419570000443855,0.36458333333333337,0.07142857142857142,0.1142857142857143,0.07142857142857142,0.08791208791208792
lymphography,ARM,4,134,14,10,0.9116597370000363,0.007073429000001852,0.39583333333333337,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.163265306122449
