Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
mammographic,ARM,2,745,85,1,7.410535431001335,0.09830764399885084,0.7646733111849391,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
mammographic,ARM,2,746,84,2,7.123923373997968,0.09120026100208634,0.7146908678389109,0.7142857142857143,0.7150960213921076,0.7142857142857143,0.7142857142857143
mammographic,ARM,2,747,83,3,7.312859214001946,0.09383185799742932,0.7229651162790698,0.7228915662650602,0.7232623875292109,0.7228915662650602,0.7229720625421076
mammographic,ARM,2,747,83,4,7.260825192999619,0.0934976309981721,0.7587209302325583,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7590361445783133
mammographic,ARM,2,747,83,5,7.15430808200108,0.09127296299993759,0.7712209302325582,0.7710843373493976,0.7714411653582973,0.7710843373493976,0.7711508342739147
mammographic,ARM,2,747,83,6,7.3915024119996815,0.09971775200028787,0.7488372093023256,0.7469879518072289,0.7517085887409286,0.7469879518072289,0.7466204688033179
mammographic,ARM,2,747,83,7,6.8129571989993565,0.08778613499816856,0.6613372093023255,0.6626506024096386,0.6624392306066371,0.6626506024096386,0.6621591260145477
mammographic,ARM,2,748,82,8,6.832523577999382,0.08715432100143516,0.7541666666666668,0.7560975609756098,0.7608500717360115,0.7560975609756098,0.7543397055592177
mammographic,ARM,2,748,82,9,7.054930322003202,0.08908029400117812,0.6684523809523809,0.6707317073170732,0.6744799915531623,0.6707317073170732,0.6676090364697114
mammographic,ARM,2,748,82,10,7.13508028400247,0.08982968499913113,0.6791666666666666,0.6829268292682927,0.6978319783197832,0.6829268292682927,0.6747668579626974
