Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
monk-2,ARM,2,388,44,1,1.775076187997911,0.015029316000436665,0.8695652173913043,0.8636363636363636,0.8939393939393938,0.8636363636363636,0.8619318181818183
monk-2,ARM,2,388,44,2,1.72680875000151,0.014656508999905782,0.9782608695652174,0.9772727272727273,0.9783057851239669,0.9772727272727273,0.9772844726333099
monk-2,ARM,2,388,44,3,1.7764555460016709,0.015254408997861901,0.9782608695652174,0.9772727272727273,0.9783057851239669,0.9772727272727273,0.9772844726333099
monk-2,ARM,2,388,44,4,1.7784001030013314,0.0152023780028685,0.9761904761904762,0.9772727272727273,0.9782196969696971,0.9772727272727273,0.9772373449072983
monk-2,ARM,2,389,43,5,1.7824899130027916,0.01484836700183223,1.0,1.0,1.0,1.0,1.0
monk-2,ARM,2,389,43,6,1.8072665660001803,0.015040606002003187,1.0,1.0,1.0,1.0,1.0
monk-2,ARM,2,389,43,7,1.804362522001611,0.01498961200195481,0.9782608695652174,0.9767441860465116,0.9778516057585825,0.9767441860465116,0.9767693956009326
monk-2,ARM,2,389,43,8,1.7917128219996812,0.01475761700203293,0.9565217391304348,0.9534883720930233,0.9577167019027484,0.9534883720930233,0.9535387093526629
monk-2,ARM,2,390,42,9,1.8048039719978988,0.014618817000155104,0.9772727272727273,0.9761904761904762,0.9773242630385488,0.9761904761904762,0.9762039813089162
monk-2,ARM,2,390,42,10,1.7385566609991656,0.013971259999379981,1.0,1.0,1.0,1.0,1.0
