Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
mushroom,ARM,2,5079,565,1,27.644788272998994,0.2344886470000347,0.9976851851851851,0.9982300884955753,0.9982351453855879,0.9982300884955753,0.9982293012650881
mushroom,ARM,2,5079,565,2,26.98366774399983,0.23131093499978306,0.9948198556722913,0.9946902654867257,0.9947014920825548,0.9946902654867257,0.9946925878281219
mushroom,ARM,2,5079,565,3,28.090569867999875,0.2431588549989101,0.997134670487106,0.9964601769911504,0.9964926524315986,0.9964601769911504,0.9964632473127656
mushroom,ARM,2,5079,565,4,28.123543554000207,0.24454904999947757,1.0,1.0,1.0,1.0,1.0
mushroom,ARM,2,5079,565,5,27.487469167999734,0.23599830700004532,0.9976851851851851,0.9982300884955753,0.9982351453855879,0.9982300884955753,0.9982293012650881
mushroom,ARM,2,5079,565,6,28.943936866000513,0.2585085190003156,0.9976851851851851,0.9982300884955753,0.9982351453855879,0.9982300884955753,0.9982293012650881
mushroom,ARM,2,5080,564,7,28.752253201000713,0.24826213000051212,0.9953488372093023,0.9964539007092199,0.9964741064031846,0.9964539007092199,0.9964506812866328
mushroom,ARM,2,5080,564,8,27.428474403999644,0.24152208099985728,1.0,1.0,1.0,1.0,1.0
mushroom,ARM,2,5081,563,9,27.650189502999638,0.2403304589988693,0.9939120556001069,0.9946714031971581,0.9946732819925924,0.9946714031971581,0.9946690152341879
mushroom,ARM,2,5081,563,10,28.321531056999447,0.24534848000075726,1.0,1.0,1.0,1.0,1.0
