Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
newthyroid,ARM,3,193,22,1,0.8460275440011173,0.0067778840002574725,0.8977272727272727,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
newthyroid,ARM,3,193,22,2,0.8578304290003871,0.0069007399997644825,1.0,1.0,1.0,1.0,1.0
newthyroid,ARM,3,193,22,3,0.835882846999084,0.00677666599949589,1.0,1.0,1.0,1.0,1.0
newthyroid,ARM,3,193,22,4,0.8326230090005993,0.0067245449990878114,0.8977272727272727,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
newthyroid,ARM,3,193,22,5,0.8364428629993199,0.006742592000591685,0.9583333333333334,0.9090909090909091,0.9454545454545454,0.9090909090909091,0.9172077922077922
newthyroid,ARM,3,194,21,6,0.8401698640009272,0.006409030000213534,0.9166666666666665,0.9523809523809523,0.9553571428571429,0.9523809523809523,0.9483870967741934
newthyroid,ARM,3,194,21,7,0.8537586620004731,0.00646115000017744,0.8952380952380952,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
newthyroid,ARM,3,194,21,8,0.8561815310004022,0.006526597000629408,1.0,1.0,1.0,1.0,1.0
newthyroid,ARM,3,194,21,9,0.8537914810003713,0.006544296000356553,0.8333333333333334,0.9047619047619048,0.9159663865546218,0.9047619047619048,0.8839285714285714
newthyroid,ARM,3,194,21,10,0.8513828960003593,0.00659836300110328,1.0,1.0,1.0,1.0,1.0
