Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
phoneme,ARM,2,4863,541,1,68.81677087799835,0.7368753959999594,0.8585234943527941,0.8909426987060998,0.8894563031092784,0.8909426987060998,0.8897628584474869
phoneme,ARM,2,4863,541,2,71.3757346090024,0.762055858001986,0.8813181204517765,0.9075785582255084,0.9066216063094544,0.9075785582255084,0.9068648910668954
phoneme,ARM,2,4863,541,3,71.3990085689984,0.7408556669979589,0.8823718265336362,0.9038817005545287,0.9035529642558603,0.9038817005545287,0.903703009529516
phoneme,ARM,2,4863,541,4,72.60269542099923,0.7442276860019774,0.8797540254865159,0.9001848428835489,0.9001848428835489,0.9001848428835489,0.9001848428835489
phoneme,ARM,2,4863,541,5,70.87877731200206,0.7292026940012875,0.883935921498897,0.911275415896488,0.91028581910006,0.911275415896488,0.9104082379670223
phoneme,ARM,2,4863,541,6,71.29170761599744,0.7650022589987202,0.8855164806216865,0.9057301293900185,0.9055631372816861,0.9057301293900185,0.9056430530368851
phoneme,ARM,2,4864,540,7,72.22406533100002,0.7426036960023339,0.8662270528199351,0.9,0.898625140291807,0.9,0.8985818621358894
phoneme,ARM,2,4864,540,8,71.79832127899863,0.7441967979975743,0.8797634038040957,0.8981481481481481,0.8987677183730871,0.8981481481481481,0.8984263161162885
phoneme,ARM,2,4865,539,9,72.20559329499883,0.7245639680004388,0.8638409913950629,0.8886827458256029,0.8882932931795297,0.8886827458256029,0.888473935489547
phoneme,ARM,2,4865,539,10,71.61877951199858,0.7443798019994574,0.8582843283830026,0.8886827458256029,0.8874073508814604,0.8886827458256029,0.8878153386502181
