Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
pima,ARM,2,691,77,1,5.732213486000546,0.05604790200050047,0.6377777777777778,0.6623376623376623,0.6683833407971339,0.6623376623376623,0.6649218128809966
pima,ARM,2,691,77,2,5.873608185000194,0.05905659800009744,0.6977777777777777,0.7402597402597403,0.7337348641696468,0.7402597402597403,0.7348651348651349
pima,ARM,2,691,77,3,5.881457256999056,0.05536527300137095,0.5937037037037037,0.6493506493506493,0.6357733175914994,0.6493506493506493,0.6398091704214153
pima,ARM,2,691,77,4,6.0540772909989755,0.05673309600024368,0.6248148148148148,0.6233766233766234,0.65655685777637,0.6233766233766234,0.6316540602254888
pima,ARM,2,691,77,5,6.001091849000659,0.05800358800115646,0.6762962962962963,0.7012987012987013,0.7039491121123773,0.7012987012987013,0.702505575232848
pima,ARM,2,691,77,6,5.8605840729997,0.05576848500095366,0.6477777777777778,0.6753246753246753,0.6781738669493772,0.6753246753246753,0.6766364948183129
pima,ARM,2,691,77,7,5.821845986998596,0.05469774900120683,0.6277777777777778,0.6493506493506493,0.6588836695219673,0.6493506493506493,0.6531558512025142
pima,ARM,2,691,77,8,5.795271439999851,0.05636883800070791,0.5907407407407407,0.6233766233766234,0.6266233766233766,0.6233766233766234,0.6248983339892431
pima,ARM,2,692,76,9,5.822513768000135,0.054820553999888944,0.6484615384615384,0.6710526315789473,0.680870371085454,0.6710526315789473,0.6749371084693927
pima,ARM,2,692,76,10,5.864011284998924,0.05470043100103794,0.5792307692307692,0.5921052631578947,0.6194317718185527,0.5921052631578947,0.6009515313707998
