Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
post-operative,ARM,2,76,11,1,0.4095214799999667,0.004793017998963478,0.5162337662337662,0.2727272727272727,0.2696969696969697,0.2727272727272727,0.23809523809523805
post-operative,ARM,3,77,10,2,0.4210173770006804,0.004363042999102618,0.48809523809523814,0.2,0.4666666666666666,0.2,0.28
post-operative,ARM,3,78,9,3,0.41297020300044096,0.0038443969988293247,0.41666666666666663,0.4444444444444444,0.38095238095238093,0.4444444444444444,0.4102564102564102
post-operative,ARM,3,78,9,4,0.4118378719995235,0.003763381999306148,0.5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333334
post-operative,ARM,3,79,8,5,0.40784262099987245,0.0034250419994350523,0.5,0.375,0.5625,0.375,0.44999999999999996
post-operative,ARM,3,79,8,6,0.41868515600071987,0.003483235999738099,0.5,0.0,0.0,0.0,0.0
post-operative,ARM,3,79,8,7,0.4188941160009563,0.003522835000694613,0.5416666666666667,0.125,0.75,0.125,0.21428571428571427
post-operative,ARM,3,79,8,8,0.4177101980003499,0.003449171001193463,0.5416666666666667,0.125,0.75,0.125,0.21428571428571427
post-operative,ARM,3,79,8,9,0.413913557998967,0.003390402000150061,0.4166666666666667,0.125,0.375,0.125,0.1875
post-operative,ARM,3,79,8,10,0.4357399419986905,0.003526970998791512,0.5833333333333333,0.25,0.75,0.25,0.375
