Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
saheart,ARM,2,415,47,1,3.1212141500000143,0.028238294000402675,0.5584677419354839,0.6170212765957447,0.6056000736851801,0.6170212765957447,0.6102393617021277
saheart,ARM,2,415,47,2,3.124599003000185,0.02880830000140122,0.6522177419354838,0.6808510638297872,0.6858990404672508,0.6808510638297872,0.683070678885119
saheart,ARM,2,416,46,3,3.022549364999577,0.027559714999370044,0.5270833333333333,0.6304347826086957,0.5838509316770186,0.6304347826086957,0.5822306238185255
saheart,ARM,2,416,46,4,3.0889916790001735,0.028080486999897403,0.36041666666666666,0.41304347826086957,0.42120116412382047,0.41304347826086957,0.4169625510819321
saheart,ARM,2,416,46,5,3.1221326909999334,0.02780200000051991,0.5041666666666667,0.5434782608695652,0.5500485051591851,0.5434782608695652,0.5465264286192805
saheart,ARM,2,416,46,6,3.077747842999088,0.028480195000156527,0.4083333333333333,0.45652173913043476,0.4641502778022753,0.45652173913043476,0.4601505102610482
saheart,ARM,2,416,46,7,3.0743781729997863,0.027876096000909456,0.5520833333333334,0.5869565217391305,0.59299761883764,0.5869565217391305,0.5897143877983967
saheart,ARM,2,416,46,8,3.0272536360007507,0.02758850699865434,0.4541666666666666,0.4782608695652174,0.505685618729097,0.4782608695652174,0.48861283643892345
saheart,ARM,2,416,46,9,3.045094215000063,0.027787769999122247,0.5208333333333334,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478
saheart,ARM,2,416,46,10,3.056059147000269,0.028087316000892315,0.5395833333333333,0.6086956521739131,0.5861040068201194,0.6086956521739131,0.5929736024844721
