Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
satimage,ARM,6,5789,646,1,350.8107196669989,3.6421478129996103,0.9254530225346871,0.8839009287925697,0.8875638792915816,0.8839009287925697,0.8853275674713426
satimage,ARM,6,5789,646,2,356.4017776949986,3.9459109740018903,0.947192554815604,0.9179566563467493,0.9196345632229805,0.9179566563467493,0.918585265014254
satimage,ARM,6,5789,646,3,361.46104447700054,3.892775989999791,0.9413430249215476,0.9102167182662538,0.9104329192662716,0.9102167182662538,0.9102183197081554
satimage,ARM,6,5791,644,4,377.6190602589995,3.8264892769984726,0.9403813474042135,0.90527950310559,0.9081673679957027,0.90527950310559,0.9059473595409301
satimage,ARM,6,5791,644,5,380.1203979769998,4.8353724730004615,0.938161781581868,0.9006211180124224,0.9053687886272264,0.9006211180124224,0.902263207460506
satimage,ARM,6,5791,644,6,354.6955159450008,3.78470676500001,0.9335294129273894,0.8975155279503105,0.8962617203390243,0.8975155279503105,0.8967058769961284
satimage,ARM,6,5792,643,7,377.66396374399847,4.7793805159999465,0.9406164304934144,0.9066874027993779,0.9128588016137189,0.9066874027993779,0.9090097815658148
satimage,ARM,6,5793,642,8,370.105034627999,3.933931900999596,0.9440094066023501,0.9158878504672897,0.9171041193855927,0.9158878504672897,0.9164320015093018
satimage,ARM,6,5795,640,9,359.79302102099973,3.668882026002393,0.9380478231234248,0.9078125,0.9088438654648849,0.9078125,0.9082311652570348
satimage,ARM,6,5795,640,10,360.8499755729972,4.7247934299994085,0.9499254716066533,0.9171875,0.9254381913307836,0.9171875,0.9200093894028282
