Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
segment,ARM,7,2077,233,1,22.072046957000566,0.2209157450015482,0.9749135510622509,0.9570815450643777,0.9591883659930179,0.9570815450643777,0.9571839690493908
segment,ARM,7,2079,231,2,22.233767235000414,0.22418181499961065,0.9924242424242428,0.987012987012987,0.9871403106697224,0.987012987012987,0.9870119929821423
segment,ARM,7,2079,231,3,21.851418679001654,0.21820666799976607,0.9696969696969701,0.948051948051948,0.9496376397999117,0.948051948051948,0.9480669003391995
segment,ARM,7,2079,231,4,21.963506936001068,0.22039831299844082,0.9722222222222223,0.9523809523809523,0.9544627475661959,0.9523809523809523,0.9525006483531829
segment,ARM,7,2079,231,5,21.892817279000155,0.22508949799885158,0.9873737373737375,0.9783549783549783,0.9787289915966387,0.9783549783549783,0.9784156142365098
segment,ARM,7,2079,231,6,21.68822488099977,0.21753416799765546,0.9772727272727275,0.961038961038961,0.9610310033104151,0.961038961038961,0.9609713669415162
segment,ARM,7,2079,231,7,22.408245459999307,0.22331066200058558,0.9873737373737373,0.9783549783549783,0.9799319727891156,0.9783549783549783,0.9783201324007863
segment,ARM,7,2079,231,8,21.218776565001463,0.20955078699989826,0.9696969696969697,0.948051948051948,0.9512661523939719,0.948051948051948,0.9481818881495631
segment,ARM,7,2079,231,9,21.012607185999514,0.2089185369986808,0.9772727272727274,0.961038961038961,0.9614245698279312,0.961038961038961,0.9607326436123628
segment,ARM,7,2081,229,10,22.20969172700279,0.2241192020010203,0.9641924498809052,0.9388646288209607,0.9442343682518356,0.9388646288209607,0.9395482062681768
