Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
tae,ARM,3,133,18,1,0.7004620910010999,0.007658937000087462,0.6577380952380952,0.5555555555555556,0.5218253968253967,0.5555555555555556,0.5360873694207027
tae,ARM,3,136,15,2,0.7404271030009113,0.006512931000543176,0.65,0.5333333333333333,0.546031746031746,0.5333333333333333,0.5222222222222223
tae,ARM,3,136,15,3,0.7338658030002989,0.006586315999811632,0.85,0.8,0.7944444444444445,0.8,0.7919191919191919
tae,ARM,3,136,15,4,0.7127058660007606,0.00622269000086817,0.65,0.5333333333333333,0.5595238095238095,0.5333333333333333,0.537037037037037
tae,ARM,3,136,15,5,0.7087232489993767,0.006114920000982238,0.65,0.5333333333333333,0.5015873015873016,0.5333333333333333,0.5055555555555555
tae,ARM,3,136,15,6,0.735052503998304,0.0065297559995087795,0.7999999999999998,0.7333333333333333,0.8194444444444445,0.7333333333333333,0.6705516705516705
tae,ARM,3,136,15,7,0.7344596470011311,0.006532858000355191,0.75,0.6666666666666666,0.6722222222222222,0.6666666666666666,0.6646464646464646
tae,ARM,3,136,15,8,0.7246848590002628,0.00640670000029786,0.8,0.7333333333333333,0.738095238095238,0.7333333333333333,0.7222222222222221
tae,ARM,3,136,15,9,0.718258112001422,0.0063945830006559845,0.6,0.4666666666666667,0.5,0.4666666666666667,0.46969696969696967
tae,ARM,3,138,13,10,0.7386351479999576,0.005600390999461524,0.5932692307692309,0.46153846153846156,0.48846153846153845,0.46153846153846156,0.4700854700854701
