Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
texture,ARM,11,4950,550,1,94.38468327499868,1.0525033369995072,0.992,0.9854545454545455,0.9854901960784314,0.9854545454545455,0.98545436361818
texture,ARM,11,4950,550,2,93.97009505900132,1.0613196849990345,0.9930000000000001,0.9872727272727273,0.9877198801409994,0.9872727272727273,0.9873046117545577
texture,ARM,11,4950,550,3,95.74115882800106,1.080660422998335,0.991,0.9836363636363636,0.9844613547898499,0.9836363636363636,0.983750872304299
texture,ARM,11,4950,550,4,97.73182054499921,1.1091325640009018,0.9900000000000002,0.9818181818181818,0.9820979020979022,0.9818181818181818,0.981888027938448
texture,ARM,11,4950,550,5,94.87001088400211,1.0435371759995178,0.9959999999999999,0.9927272727272727,0.9928342245989303,0.9927272727272727,0.9927079869396956
texture,ARM,11,4950,550,6,96.00688852299936,1.1129252609971445,0.9890000000000002,0.98,0.9803241525349687,0.98,0.9799539995437908
texture,ARM,11,4950,550,7,94.96528784400289,1.0541292509988125,0.9940000000000003,0.9890909090909091,0.9897009308774014,0.9890909090909091,0.9891181339020526
texture,ARM,11,4950,550,8,94.35923720500068,1.0379593440011377,0.9900000000000002,0.9818181818181818,0.9823431594860166,0.9818181818181818,0.9818990389120259
texture,ARM,11,4950,550,9,97.35182288999931,1.125626896002359,0.9890000000000001,0.98,0.9804936240230359,0.98,0.9799914296242458
texture,ARM,11,4950,550,10,102.28464136500043,1.1606311180003104,0.9900000000000002,0.9818181818181818,0.9818523773145621,0.9818181818181818,0.9817994526725401
