Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
thyroid,ARM,3,6479,721,1,355.4254805269993,3.8853457440018246,0.7201967882938792,0.9056865464632455,0.9118757976175002,0.9056865464632455,0.9086585941434613
thyroid,ARM,3,6479,721,2,360.29322728600164,4.858033189000707,0.775637785891083,0.9320388349514563,0.9293673294560543,0.9320388349514563,0.9305818971267953
thyroid,ARM,3,6479,721,3,368.0940908360026,4.024888474999898,0.7489516513845725,0.9237170596393898,0.9233027452395247,0.9237170596393898,0.9233328649555853
thyroid,ARM,3,6479,721,4,318.7179208769994,3.9015094700007467,0.7615152044955276,0.9140083217753121,0.9256103045054158,0.9140083217753121,0.919119730844358
thyroid,ARM,3,6479,721,5,316.42431659000067,3.925888820002001,0.7575313967790916,0.9084604715672677,0.9210442594246214,0.9084604715672677,0.9141983041151074
thyroid,ARM,3,6479,721,6,312.43359246399996,3.7175959560008778,0.7335881963209931,0.9195561719833565,0.921795748948383,0.9195561719833565,0.9197661251017246
thyroid,ARM,3,6481,719,7,316.7890073810013,3.9209161220023816,0.7382402830507838,0.9193324061196105,0.9226936047964287,0.9193324061196105,0.9203853927593971
thyroid,ARM,3,6481,719,8,342.81776885399813,4.7266778529956355,0.7867511222105277,0.9123783031988874,0.9204342538102493,0.9123783031988874,0.9162141837266502
thyroid,ARM,3,6482,718,9,321.9338848080006,3.925087303003238,0.7495660048976553,0.9094707520891365,0.9218796301783915,0.9094707520891365,0.9149714535773494
thyroid,ARM,3,6482,718,10,352.25655620999896,4.804568359999394,0.7379097630011627,0.9080779944289693,0.9122930294894903,0.9080779944289693,0.9101358918592297
