Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
tic-tac-toe,ARM,2,861,97,1,7.766072182999778,0.07775660100014647,0.6965452847805789,0.711340206185567,0.7203159917967206,0.711340206185567,0.7146264060240738
tic-tac-toe,ARM,2,861,97,2,7.717470658999446,0.0751652010003454,0.7056489262371616,0.7319587628865979,0.7319587628865979,0.7319587628865979,0.7319587628865979
tic-tac-toe,ARM,2,862,96,3,7.538484354001412,0.07205068099938217,0.676046176046176,0.6979166666666666,0.7050347222222223,0.6979166666666666,0.7007997525627431
tic-tac-toe,ARM,2,862,96,4,7.567708430999119,0.073054675000094,0.5634920634920635,0.6354166666666666,0.61328125,0.6354166666666666,0.6187865497076023
tic-tac-toe,ARM,2,862,96,5,7.518252904999827,0.07391744899905461,0.5476190476190477,0.6145833333333334,0.5954326923076924,0.6145833333333334,0.6018621766280107
tic-tac-toe,ARM,2,862,96,6,7.646098289998918,0.07782455699998536,0.562049062049062,0.6145833333333334,0.6063446969696971,0.6145833333333334,0.6098883351790328
tic-tac-toe,ARM,2,863,95,7,7.667745389000629,0.0741104759999871,0.5972629521016618,0.631578947368421,0.6342181393696391,0.631578947368421,0.6328307116535423
tic-tac-toe,ARM,2,863,95,8,7.459659662999911,0.07192084099915519,0.6830400782013684,0.7157894736842105,0.7138523391812867,0.7157894736842105,0.7147400809716599
tic-tac-toe,ARM,2,863,95,9,7.696652583999821,0.07444846099861024,0.6588465298142717,0.6842105263157895,0.6889223057644112,0.6842105263157895,0.6862660508551996
tic-tac-toe,ARM,2,863,95,10,7.438101173000177,0.0716381670008559,0.6133919843597263,0.6526315789473685,0.6502088554720133,0.6526315789473685,0.651348987854251
