Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
titanic,ARM,2,1485,716,1,79.631663174001,6.788084316000095,0.4605906186040683,0.24022346368715083,0.3585419483036631,0.24022346368715083,0.12382446968173619
titanic,ARM,2,2035,166,2,110.87422118399991,1.4260433259987622,0.5397798742138364,0.5,0.5807962529274004,0.5,0.5008165487207404
titanic,ARM,2,2035,166,3,103.43212483999923,1.6033147079997434,0.4693396226415094,0.5301204819277109,0.507989585460486,0.5301204819277109,0.5166021227768216
titanic,ARM,2,2036,165,4,113.444116699,1.7282501270001376,0.41869203709625835,0.48484848484848486,0.4608100233100233,0.48484848484848486,0.471074264712419
titanic,ARM,2,2036,165,5,133.9988610069995,1.9206481740002346,0.35057563159577876,0.3393939393939394,0.39291556873078615,0.3393939393939394,0.3484049713727133
titanic,ARM,2,2036,165,6,117.9560124210002,1.7272243090010306,0.5275823472977295,0.46060606060606063,0.5766498316498316,0.46060606060606063,0.4435635350134592
titanic,ARM,2,2036,165,7,82.63955626199822,1.0907812240002386,0.5021586184841702,0.44242424242424244,0.5432595182595183,0.44242424242424244,0.42929948839039744
titanic,ARM,2,2036,165,8,124.0836691830009,1.7850069259984593,0.46074512312120247,0.41818181818181815,0.4966698439175504,0.41818181818181815,0.41497514830848165
titanic,ARM,2,2037,164,9,139.87035203199775,1.963033012001688,0.33196125907990315,0.31097560975609756,0.3634643865413986,0.31097560975609756,0.3142814507328321
titanic,ARM,2,2037,164,10,107.53548895000131,1.3655213079982786,0.5511702986279257,0.5060975609756098,0.5951310757414665,0.5060975609756098,0.505234448328867
