Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
twonorm,ARM,2,6659,741,1,180.61179333300242,2.2676805590017466,0.921741822685219,0.921727395411606,0.9219263812565247,0.921727395411606,0.9217194117861397
twonorm,ARM,2,6659,741,2,191.79325614800473,2.4337535849990672,0.9446528738981569,0.9446693657219973,0.9449301124107947,0.9446693657219973,0.9446602948122844
twonorm,ARM,2,6659,741,3,182.48859390500002,2.271051355994132,0.9365666205288847,0.9365721997300944,0.936600132587175,0.9365721997300944,0.9365708134942149
twonorm,ARM,2,6660,740,4,194.71497152200027,2.485073611002008,0.922972972972973,0.922972972972973,0.9230502283105023,0.922972972972973,0.9229694562388714
twonorm,ARM,2,6660,740,5,175.5281973040037,2.1843481410032837,0.9351351351351351,0.9351351351351351,0.9351351351351351,0.9351351351351351,0.9351351351351351
twonorm,ARM,2,6660,740,6,193.58867972300504,2.4416716339983395,0.9256756756756757,0.9256756756756757,0.9262018123176164,0.9256756756756757,0.9256527306637731
twonorm,ARM,2,6660,740,7,181.633243753,2.2971111750011914,0.9378378378378377,0.9378378378378378,0.9378506311360448,0.9378378378378378,0.9378373837646733
twonorm,ARM,2,6661,739,8,180.05241358600324,2.209977451006125,0.9323482018603969,0.93234100135318,0.9323926632147583,0.93234100135318,0.932339514647186
twonorm,ARM,2,6661,739,9,174.40519106699503,2.2632259460006026,0.9418003369222882,0.9418132611637348,0.9419703987592555,0.9418132611637348,0.9418072939160393
twonorm,ARM,2,6661,739,10,178.18507073899673,2.2084668329989654,0.9323262286676921,0.93234100135318,0.9325417897869253,0.93234100135318,0.9323320799410078
