Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
vehicle,ARM,4,760,86,1,9.74779242799923,0.10015168000245467,0.7623854827343198,0.6395348837209303,0.6318725164484398,0.6395348837209303,0.6319642373913777
vehicle,ARM,4,760,86,2,10.210556362002535,0.10627014599958784,0.7764094432699084,0.6627906976744186,0.6749677002583979,0.6627906976744186,0.6627906976744186
vehicle,ARM,4,761,85,3,9.721820447000937,0.10044852099963464,0.7806173075290722,0.6705882352941176,0.673202614379085,0.6705882352941176,0.6708843720554584
vehicle,ARM,4,761,85,4,10.112184906000039,0.11721220999970683,0.7967886851710381,0.6941176470588235,0.6821889646226703,0.6941176470588235,0.6868903008357815
vehicle,ARM,4,761,85,5,10.022695923002175,0.1008515930006979,0.7872788812494695,0.6823529411764706,0.7030355620509074,0.6823529411764706,0.685779048192167
vehicle,ARM,4,761,85,6,9.997044501000346,0.10462879600163433,0.749953314659197,0.6235294117647059,0.6349629730434684,0.6235294117647059,0.626934481109517
vehicle,ARM,4,761,85,7,9.886606653002673,0.10064674700333853,0.7720352686529157,0.6588235294117647,0.6653361344537816,0.6588235294117647,0.6568958318932743
vehicle,ARM,4,762,84,8,10.163353397998435,0.1003746679998585,0.7387244039029753,0.6071428571428571,0.5988523209020103,0.6071428571428571,0.6017285593697553
vehicle,ARM,4,763,83,9,10.165296451999893,0.10047850499904598,0.7362115127175368,0.6024096385542169,0.6022741684441113,0.6024096385542169,0.6012564641517208
vehicle,ARM,4,764,82,10,9.847507429996767,0.09771320000072592,0.7746398516616745,0.6585365853658537,0.6790650406504065,0.6585365853658537,0.6665565766514994
