Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
vowel,ARM,11,891,99,1,6.6557048429967836,0.061017657004413195,1.0,1.0,1.0,1.0,1.0
vowel,ARM,11,891,99,2,6.7537246930005495,0.06330545999662718,0.9944444444444445,0.98989898989899,0.9909090909090909,0.98989898989899,0.9898677174218969
vowel,ARM,11,891,99,3,6.601065185001062,0.061268659999768715,0.9944444444444445,0.98989898989899,0.9909090909090909,0.98989898989899,0.9898677174218969
vowel,ARM,11,891,99,4,6.7161386190055055,0.06135758900200017,1.0,1.0,1.0,1.0,1.0
vowel,ARM,11,891,99,5,6.6565220070042415,0.06047588699584594,1.0,1.0,1.0,1.0,1.0
vowel,ARM,11,891,99,6,6.641872829997737,0.0603747499990277,0.9833333333333334,0.9696969696969697,0.9743801652892561,0.9696969696969697,0.9694131719673514
vowel,ARM,11,891,99,7,6.6533429409973905,0.06117183300375473,0.9888888888888887,0.9797979797979798,0.9818181818181817,0.9797979797979798,0.979735434843794
vowel,ARM,11,891,99,8,6.673442035003973,0.060965133998251986,1.0,1.0,1.0,1.0,1.0
vowel,ARM,11,891,99,9,6.588960995999514,0.05994238900166238,0.9833333333333332,0.9696969696969697,0.9717171717171716,0.9696969696969697,0.9696344247427838
vowel,ARM,11,891,99,10,6.586864891003643,0.06032591999974102,1.0,1.0,1.0,1.0,1.0
