Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
wine,ARM,3,159,19,1,0.8704504820016155,0.007796396002959227,0.7717105263157895,0.7368421052631579,0.7719298245614034,0.7368421052631579,0.7210526315789474
wine,ARM,3,160,18,2,0.8772064529985073,0.007552229999419069,0.8622685185185186,0.8333333333333334,0.8441358024691358,0.8333333333333334,0.828493265993266
wine,ARM,3,160,18,3,0.8805525380012114,0.007677278001210652,0.9227843915343916,0.8888888888888888,0.9206349206349207,0.8888888888888888,0.8934861434861434
wine,ARM,3,160,18,4,0.8784575379977468,0.007545885997387813,0.8732473544973545,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
wine,ARM,3,160,18,5,0.8548168240013183,0.007375576002232265,0.6696428571428572,0.5555555555555556,0.5338624338624338,0.5555555555555556,0.5383320383320382
wine,ARM,3,160,18,6,0.845172992998414,0.007281337999302195,0.733531746031746,0.6666666666666666,0.6213624338624338,0.6666666666666666,0.6363960113960113
wine,ARM,3,160,18,7,0.8574451240019698,0.007342439999774797,0.7678571428571429,0.7222222222222222,0.7968253968253968,0.7222222222222222,0.6747947042064689
wine,ARM,3,160,18,8,0.8686323859983531,0.0075141559973417316,0.749834656084656,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.6767676767676767
wine,ARM,3,161,17,9,0.865124323998316,0.006912863998877583,0.8103991596638657,0.7058823529411765,0.8235294117647058,0.7058823529411765,0.6980392156862745
wine,ARM,3,162,16,10,0.8876278120005736,0.006715714996971656,0.8409598214285714,0.8125,0.8072916666666666,0.8125,0.8053571428571429
