Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
winequality-red,ARM,6,1437,162,1,25.572408685999108,0.2732940250025422,0.6399766701332975,0.6296296296296297,0.6314542032033008,0.6296296296296297,0.6300292223924835
winequality-red,ARM,6,1438,161,2,25.616594331997476,0.2716795939995791,0.6368600619595667,0.6024844720496895,0.6009606741247223,0.6024844720496895,0.6008809667634922
winequality-red,ARM,6,1438,161,3,26.105466183002136,0.2814341079974838,0.628718639629765,0.5962732919254659,0.6035295277531302,0.5962732919254659,0.5996197305275235
winequality-red,ARM,6,1439,160,4,26.127622840002005,0.27087969800049905,0.670953986672794,0.65625,0.6380681818181818,0.65625,0.6466403990746096
winequality-red,ARM,6,1439,160,5,26.074069338003028,0.28461862100084545,0.6480675551470589,0.59375,0.6013874081971097,0.59375,0.5969872928691119
winequality-red,ARM,6,1439,160,6,26.837869594997755,0.2868980380007997,0.6547713694852941,0.64375,0.6525886194029851,0.64375,0.6477301642377978
winequality-red,ARM,6,1439,160,7,25.86863209799776,0.27718886000002385,0.6890565831801471,0.59375,0.5790315934065934,0.59375,0.5857979440512302
winequality-red,ARM,6,1439,160,8,25.736377957000514,0.2626463650012738,0.6445780675551471,0.60625,0.6065314769975787,0.60625,0.6032235689065797
winequality-red,ARM,6,1441,158,9,25.897216017001483,0.27664490600000136,0.6493213931142076,0.6455696202531646,0.6324063419000128,0.6455696202531646,0.6384157367794292
winequality-red,ARM,6,1442,157,10,25.548531397998886,0.27107113899910473,0.6146553423023026,0.554140127388535,0.5563555801716976,0.554140127388535,0.5550673829658577
