Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
winequality-white,ARM,7,4399,499,1,230.45518943500065,2.6474061389999406,0.6560247341916644,0.561122244488978,0.5629012459055348,0.561122244488978,0.559554412277083
winequality-white,ARM,7,4407,491,2,230.52731466799742,2.710723494998092,0.6449579344607098,0.5763747454175153,0.5662894622841329,0.5763747454175153,0.5700527245861668
winequality-white,ARM,7,4407,491,3,236.63500222100265,2.7236143620029907,0.6727504818622987,0.6374745417515275,0.6426889760295316,0.6374745417515275,0.6382213497149318
winequality-white,ARM,7,4408,490,4,232.29889791200185,2.65121542199995,0.6481051101947628,0.5918367346938775,0.5943010403334833,0.5918367346938775,0.5924045032759648
winequality-white,ARM,7,4408,490,5,236.69310769500225,2.6584842190022755,0.6848241572469586,0.636734693877551,0.6432456775678816,0.636734693877551,0.6393467578090424
winequality-white,ARM,7,4409,489,6,235.86010223300036,2.6772423410002375,0.6765312165232357,0.6053169734151329,0.6026136813349331,0.6053169734151329,0.603109741943833
winequality-white,ARM,7,4409,489,7,233.96593479100193,2.7110381009988487,0.66706258906851,0.6053169734151329,0.6010101468967702,0.6053169734151329,0.6030482601488861
winequality-white,ARM,7,4411,487,8,233.01110932200027,2.701210429000639,0.6790585342924901,0.62217659137577,0.6209430104568846,0.62217659137577,0.6199933063572862
winequality-white,ARM,7,4412,486,9,238.081405025001,2.678845878002903,0.6734176003129063,0.6111111111111112,0.6086918073333258,0.6111111111111112,0.6097155151247552
winequality-white,ARM,7,4412,486,10,235.25801308399969,2.607165587000054,0.7222813730025953,0.602880658436214,0.6062605560166675,0.602880658436214,0.6041308261987275
