Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
wisconsin,ARM,2,614,69,1,3.002945025000372,0.025881683999614324,0.9555555555555555,0.9420289855072463,0.9503105590062112,0.9420289855072463,0.9429104767830754
wisconsin,ARM,2,614,69,2,3.14346591100184,0.02817087299627019,0.9888888888888888,0.9855072463768116,0.986086956521739,0.9855072463768116,0.9855737116536893
wisconsin,ARM,2,614,69,3,3.151436514002853,0.027821260002383497,0.9472222222222221,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9562980959835723
wisconsin,ARM,2,614,69,4,3.1060110469989013,0.03102389699779451,0.9472222222222221,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9562980959835723
wisconsin,ARM,2,615,68,5,3.0953535860026022,0.026758346997667104,0.9886363636363636,0.9852941176470589,0.9858823529411763,0.9852941176470589,0.9853596611058217
wisconsin,ARM,2,615,68,6,3.0911516579944873,0.026686463002988603,0.9053030303030304,0.9264705882352942,0.9281244412658679,0.9264705882352942,0.9252316311139841
wisconsin,ARM,2,615,68,7,3.070183432995691,0.026469336997251958,0.9469696969696969,0.9558823529411765,0.9558965615231602,0.9558823529411765,0.9556608682201067
wisconsin,ARM,2,615,68,8,3.0158667389987386,0.025829026999417692,0.8617424242424242,0.8823529411764706,0.8815391769355964,0.8823529411764706,0.8811025859619209
wisconsin,ARM,2,615,68,9,3.0843324919987936,0.026884457998676226,0.9166666666666667,0.9411764705882353,0.946078431372549,0.9411764705882353,0.9397814461753081
wisconsin,ARM,2,616,67,10,3.083527545000834,0.026262762999976985,0.9668972332015812,0.9701492537313433,0.9701492537313433,0.9701492537313433,0.9701492537313433
