Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
yeast,ARM,10,1330,154,1,19.31100341599813,0.212171537001268,0.7257870475239661,0.512987012987013,0.5148734713826879,0.512987012987013,0.5125328092733429
yeast,ARM,10,1332,152,2,19.96529917600128,0.21881081299943617,0.782741122344071,0.625,0.6265342284001539,0.625,0.6233701762887828
yeast,ARM,10,1333,151,3,18.98769150500084,0.21973642300145002,0.7283779477628656,0.5165562913907285,0.5310691304843763,0.5165562913907285,0.5189340251127078
yeast,ARM,10,1334,150,4,19.6407904459993,0.2024959279988252,0.6954965476725461,0.49333333333333335,0.5101274351274352,0.49333333333333335,0.49367970892453655
yeast,ARM,10,1336,148,5,19.621780429002683,0.19723602199883317,0.6802016295238615,0.44594594594594594,0.44414414414414416,0.44594594594594594,0.43813597694957584
yeast,ARM,10,1338,146,6,19.428533574999165,0.19399558900113334,0.52194397901748,0.2328767123287671,0.29449158678212517,0.2328767123287671,0.25573933531452386
yeast,ARM,10,1338,146,7,19.537754121000035,0.19619413899999927,0.4981608607207826,0.1780821917808219,0.18856583729382165,0.1780821917808219,0.17700072098053354
yeast,ARM,10,1338,146,8,19.9007691959996,0.1972530769999139,0.5319177512281212,0.2602739726027397,0.2990328164985699,0.2602739726027397,0.27143130806965793
yeast,ARM,10,1338,146,9,19.624665260002075,0.19363340700147091,0.5317721877726916,0.23972602739726026,0.27397020937485966,0.23972602739726026,0.2445228804789264
yeast,ARM,10,1339,145,10,19.800561572999868,0.2004495519977354,0.49775196665060334,0.20689655172413793,0.22598493856520016,0.20689655172413793,0.20126645843795124
