Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
zoo,ARM,7,88,13,1,0.3884050089982338,0.004322976998082595,0.935897435897436,0.9230769230769231,0.8846153846153846,0.9230769230769231,0.8974358974358974
zoo,ARM,7,89,12,2,0.3858148510007595,0.003860491000523325,1.0,1.0,1.0,1.0,1.0
zoo,ARM,7,89,12,3,0.3886377939998056,0.00398091600072803,1.0,1.0,1.0,1.0,1.0
zoo,ARM,7,90,11,4,0.3911930479989678,0.00359713199941325,0.931818181818182,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.8787878787878789
zoo,ARM,7,91,10,5,0.39736078699934296,0.003254033999837702,0.7599999999999999,0.7,0.65,0.7,0.6666666666666667
zoo,ARM,7,92,9,6,0.4052090000004682,0.0030714259992237203,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
zoo,ARM,7,92,9,7,0.4111590879983851,0.0030192169979272876,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
zoo,ARM,7,92,9,8,0.4015374119990156,0.002987358999234857,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
zoo,ARM,7,93,8,9,0.4110379539997666,0.002731309999944642,0.7708333333333334,0.75,0.75,0.75,0.75
zoo,ARM,7,93,8,10,0.40512620200024685,0.002678737000678666,0.7708333333333334,0.75,0.75,0.75,0.75
